UserName,FirstName,LastName,Jobtitle,OU,Email,,,,,,,,,,,,,,,,,,,,
Anna Muller,Anna,Muller,CEO,Executive,A.Muller@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Malik Ahmed,Malik,Ahmed,COO,Executive,M.Ahmed@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Noah Bauer,Noah,Bauer,CTO,Executive,N.Bauer@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Aria Schmidt,Aria,Schmidt,CFO,Executive,A.Schmidt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Rohit Gupta,Rohit,Gupta,Chief Engineer,Engineering,R.Gutpa@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Sophia Nguyen,Sophia,Nguyen,Senior Engineer,Engineering,S.Nguyen@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Felix Wagner,Felix,Wagner,Senior Engineer,Engineering,F.Wagner@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Marcus Johnson,Marcus,Johnson,Engineer,Engineering,M.Johnson@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Olivia Lehmann,Olivia,Lehmann,Engineer,Engineering,O.Lehmann@cleanpower.com,,,,,,,,,,,,,,,,,,,,
David Schmitt,David,Schmitt,Engineer,Engineering,D.Schmitt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Maya Schmidt,Maya,Schmidt,Project Manager,Project Management,M.Schmidt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Xavier Lehmann,Xavier,Lehmann,Project Manager,Project Management,X.Lehmann@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Leila Braun,Leila,Braun,Project Manager,Project Management,L.Braun@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Ethan Bauer,Ethan,Bauer,Chief Marketing,Sales & Marketing,E.Bauer@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Sanjay Schmidt,Sanjay,Schmidt,Head of Sales,Sales & Marketing,S.Schmidt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Mia Becker,Mia,Becker,Marketing Manger,Sales & Marketing,M.Becker@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Aiden Muller,Aiden,Muller,Marketing Coordinator,Sales & Marketing,A.Muller@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Esha Wagner,Esha,Wagner,Sales Rep,Sales & Marketing,E.Wagner@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Omar Krause,Omar,Krause,Sales Rep,Sales & Marketing,O.Krause@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Hannah Muller,Hannah,Muller,Head of Customer Success,Customer Success,H.Muller@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Farhan Schmidt,Farhan,Schmidt,Customer Success Manager,Customer Success,F.Schmidt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Aria Bauer,Aria,Bauer,Customer Success Rep,Customer Success,A.Bauer@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Naomi Braun,Naomi,Braun,Customer Success Rep,Customer Success,N.Braun@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Lauren Fischer,Lauren,Fischer,Operations Manager,Operations,L.Fischer@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Rohit Meyer,Rohit,Meyer,Logistic Coordingator,Operations,R.Meyer@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Maya Schmidt,Maya,Schmidt,Procurement Specialist,Operations,M.Schmidt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Amara Schulz,Amara,Schulz,HR Manager,Operations,A.Schulz@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Lucas Keller,Lucas,Keller,IT Specialist,Operations,L.Keller@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Hannah Koch,Hannah,Koch,Legal Counsel,Operations,H.Koch@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Ava Bauer,Ava,Bauer,R&D Manager,Research & Development,A.Bauer@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Marcus Johnson,Marcus,Johnson,Research Scientist ,Research & Development,M.Johnson@cleanpower.com,,,,,,,,,,,,,,,,,,,,
Olivia Lehmann,Olivia,Lehmann,Research Scientist ,Research & Development,O.Lehmann@cleanpower.com,,,,,,,,,,,,,,,,,,,,
David Schmitt,David,Schmitt,Research Scientist ,Research & Development,D.Schmitt@cleanpower.com,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
