Username,FirstName,LastName,Position,OU,Email,Password,,,,,,,,,,,,,,,,,,,
Anna Muller,Anna,Muller,CEO,"""OU=Executive,DC=Cleanpower,DC=com'""",A.Muller@cleanpower.com,u0RJIPiA,,,,,,,,,,,,,,,,,,,
Malik Ahmed,Malik,Ahmed,COO,"""OU=Executive,DC=Cleanpower,DC=com'""",M.Ahmed@cleanpower.com,vgfSKdyX,,,,,,,,,,,,,,,,,,,
Noah Bauer,Noah,Bauer,CTO,"""OU=Executive,DC=Cleanpower,DC=com'""",N.Bauer@cleanpower.com,SiFgA3g0,,,,,,,,,,,,,,,,,,,
Aria Schmidt,Aria,Schmidt,CFO,"""OU=Executive,DC=Cleanpower,DC=com'""",A.Schmidt@cleanpower.com,4ID3VhrT,,,,,,,,,,,,,,,,,,,
Rohit Gupta,Rohit,Gupta,Chief Engineer,"""OU=Engineering,DC=Cleanpower,DC=com""'",R.Gutpa@cleanpower.com,ELobEHxx,,,,,,,,,,,,,,,,,,,
Sophia Nguyen,Sophia,Nguyen,Senior Engineer,"""OU=Engineering,DC=Cleanpower,DC=com""'",S.Nguyen@cleanpower.com,wkVBwWkd,,,,,,,,,,,,,,,,,,,
Felix Wagner,Felix,Wagner,Senior Engineer,"""OU=Engineering,DC=Cleanpower,DC=com""'",F.Wagner@cleanpower.com,6uewyWg1,,,,,,,,,,,,,,,,,,,
Marcus Johnson,Marcus,Johnson,Engineer,"""OU=Engineering,DC=Cleanpower,DC=com""'",M.Johnson@cleanpower.com,UaOALppN,,,,,,,,,,,,,,,,,,,
Olivia Lehmann,Olivia,Lehmann,Engineer,"""OU=Engineering,DC=Cleanpower,DC=com""'",O.Lehmann@cleanpower.com,yMN8zWSL,,,,,,,,,,,,,,,,,,,
David Schmitt,David,Schmitt,Engineer,"""OU=Engineering,DC=Cleanpower,DC=com""'",D.Schmitt@cleanpower.com,uSuZifDi,,,,,,,,,,,,,,,,,,,
Maya Schmidt,Maya,Schmidt,Project Manager,"""OU=Project Management,DC=Cleanpower,DC=com'""",M.Schmidt@cleanpower.com,hj6kD4es,,,,,,,,,,,,,,,,,,,
Xavier Lehmann,Xavier,Lehmann,Project Manager,"""OU=Project Management,DC=Cleanpower,DC=com'""",X.Lehmann@cleanpower.com,pxHn2xmH,,,,,,,,,,,,,,,,,,,
Leila Braun,Leila,Braun,Project Manager,"""OU=Project Management,DC=Cleanpower,DC=com'""",L.Braun@cleanpower.com,4HMkImoj,,,,,,,,,,,,,,,,,,,
Ethan Bauer,Ethan,Bauer,Chief Marketing,"""OU=Sales & Marketing,DC=Cleanpower,DC=com'""",E.Bauer@cleanpower.com,bTCgmGSz,,,,,,,,,,,,,,,,,,,
Sanjay Schmidt,Sanjay,Schmidt,Head of Sales,"""OU=Sales & Marketing,DC=Cleanpower,DC=com'""",S.Schmidt@cleanpower.com,XqclsEK3,,,,,,,,,,,,,,,,,,,
Mia Becker,Mia,Becker,Marketing Manger,"""OU=Sales & Marketing,DC=Cleanpower,DC=com'""",M.Becker@cleanpower.com,rfTBPpS6,,,,,,,,,,,,,,,,,,,
Aiden Muller,Aiden,Muller,Marketing Coordinator,"""OU=Sales & Marketing,DC=Cleanpower,DC=com'""",A2.Muller@cleanpower.com,qneaSdZ4,,,,,,,,,,,,,,,,,,,
Esha Wagner,Esha,Wagner,Sales Rep,"""OU=Sales & Marketing,DC=Cleanpower,DC=com'""",E.Wagner@cleanpower.com,5XJt18Fi,,,,,,,,,,,,,,,,,,,
Omar Krause,Omar,Krause,Sales Rep,"""OU=Sales & Marketing,DC=Cleanpower,DC=com""'",O.Krause@cleanpower.com,eSPMVAY0,,,,,,,,,,,,,,,,,,,
Hannah Muller,Hannah,Muller,Head of Customer Success,"""OU=Customer Success,DC=Cleanpower,DC=com""'",H.Muller@cleanpower.com,7S2mSmUv,,,,,,,,,,,,,,,,,,,
Farhan Schmidt,Farhan,Schmidt,Customer Success Manager,"""OU=Customer Success,DC=Cleanpower,DC=com""'",F.Schmidt@cleanpower.com,AG09l2g3,,,,,,,,,,,,,,,,,,,
Aria Bauer,Aria,Bauer,Customer Success Rep,"""OU=Customer Success,DC=Cleanpower,DC=com""'",A.Bauer@cleanpower.com,QhpU5aBs,,,,,,,,,,,,,,,,,,,
Naomi Braun,Naomi,Braun,Customer Success Rep,"""OU=Customer Success,DC=Cleanpower,DC=com""'",N.Braun@cleanpower.com,avh6ZGlp,,,,,,,,,,,,,,,,,,,
Lauren Fischer,Lauren,Fischer,Operations Manager,"""OU=Operations,DC=Cleanpower,DC=com""'",L.Fischer@cleanpower.com,Ooc9lxmT,,,,,,,,,,,,,,,,,,,
Rohit Meyer,Rohit,Meyer,Logistic Coordingator,"""OU=Operations,DC=Cleanpower,DC=com""'",R.Meyer@cleanpower.com,DXtvIG6l,,,,,,,,,,,,,,,,,,,
Maya Schmidt,Maya,Schmidt,Procurement Specialist,"""OU=Operations,DC=Cleanpower,DC=com""'",M2.Schmidt@cleanpower.com,vW5xUE5h,,,,,,,,,,,,,,,,,,,
Amara Schulz,Amara,Schulz,HR Manager,"""OU=Operations,DC=Cleanpower,DC=com""'",A.Schulz@cleanpower.com,RJMhEXV4,,,,,,,,,,,,,,,,,,,
Lucas Keller,Lucas,Keller,IT Specialist,"""OU=Operations,DC=Cleanpower,DC=com""'",L.Keller@cleanpower.com,fKv7ahSd,,,,,,,,,,,,,,,,,,,
Hannah Koch,Hannah,Koch,Legal Counsel,"""OU=Operations,DC=Cleanpower,DC=com""'",H.Koch@cleanpower.com,5WRhrQkU,,,,,,,,,,,,,,,,,,,
Ava Bauer,Ava,Bauer,R&D Manager,"""OU=Research & Delepoment,DC=Cleanpower,DC=com""'",A2.Bauer@cleanpower.com,z5LDLyVJ,,,,,,,,,,,,,,,,,,,
Marcus Johnson,Marcus,Johnson,Research Scientist ,"""OU=Research & Delepoment,DC=Cleanpower,DC=com""'",M2.Johnson@cleanpower.com,t5sbkFOp,,,,,,,,,,,,,,,,,,,
Olivia Lehmann,Olivia,Lehmann,Research Scientist ,"""OU=Research & Delepoment,DC=Cleanpower,DC=com""'",O2.Lehmann@cleanpower.com,CzP7U9LO,,,,,,,,,,,,,,,,,,,
David Schmitt,David,Schmitt,Research Scientist ,"""OU=Research & Delepoment,DC=Cleanpower,DC=com""'",D.Schmitt@cleanpower.com,Eb18wX0A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
